Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,AKAZE,BRISK,162,0,83.4297,1.43313,0, 84.8628
1,AKAZE,BRISK,157,134,42.4038,1.34052,0.347893, 44.0922
2,AKAZE,BRISK,159,124,45.6392,1.34803,0.243248, 47.2305
3,AKAZE,BRISK,154,129,43.2854,1.30937,0.263352, 44.8582
4,AKAZE,BRISK,162,128,46.3164,1.31368,0.249985, 47.8801
5,AKAZE,BRISK,163,130,46.9063,1.48174,0.220014, 48.6081
6,AKAZE,BRISK,173,132,51.1184,1.59663,0.316633, 53.0316
7,AKAZE,BRISK,175,142,45.3646,1.48386,0.273241, 47.1217
8,AKAZE,BRISK,175,144,43.0612,1.46641,0.302884, 44.8305
9,AKAZE,BRISK,175,141,43.134,1.45221,0.260469, 44.8466
