Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,AKAZE,FREAK,162,0,99.9946,38.6176,0, 138.612
1,AKAZE,FREAK,157,123,46.7253,29.2514,0.309786, 76.2865
2,AKAZE,FREAK,159,128,42.3994,28.4263,0.215405, 71.041
3,AKAZE,FREAK,154,128,41.8647,29.432,0.225519, 71.5223
4,AKAZE,FREAK,162,121,40.5585,29.3996,0.230475, 70.1886
5,AKAZE,FREAK,163,122,41.116,29.7831,0.229402, 71.1285
6,AKAZE,FREAK,173,133,40.7522,29.8995,0.275289, 70.9271
7,AKAZE,FREAK,175,144,44.7831,29.8152,0.388317, 74.9866
8,AKAZE,FREAK,175,145,43.0512,30.1838,0.33334, 73.5684
9,AKAZE,FREAK,175,135,43.179,28.9324,0.266659, 72.3781
