Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,AKAZE,ORB,162,0,102.71,9.19894,0, 111.909
1,AKAZE,ORB,157,128,44.8825,3.19691,0.212411, 48.2918
2,AKAZE,ORB,159,128,42.1543,2.81732,0.188856, 45.1605
3,AKAZE,ORB,154,126,42.5622,3.09566,0.168102, 45.826
4,AKAZE,ORB,162,118,43.3032,3.55803,0.209843, 47.071
5,AKAZE,ORB,163,129,44.8897,3.25863,0.184944, 48.3333
6,AKAZE,ORB,173,131,42.6834,3.02037,0.188947, 45.8927
7,AKAZE,ORB,175,136,45.6963,2.82612,0.264513, 48.787
8,AKAZE,ORB,175,136,47.6588,3.16405,0.372172, 51.195
9,AKAZE,ORB,175,143,46.6045,2.9702,0.213937, 49.7887
