Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,AKAZE,SIFT,162,0,82.1881,44.143,0, 126.331
1,AKAZE,SIFT,157,100,43.3191,29.0333,0.539844, 72.8923
2,AKAZE,SIFT,159,104,42.2645,30.144,0.457302, 72.8659
3,AKAZE,SIFT,154,94,44.0209,28.7223,0.456164, 73.1994
4,AKAZE,SIFT,162,97,43.6944,29.8769,0.50102, 74.0722
5,AKAZE,SIFT,163,97,49.0602,28.0443,0.542075, 77.6466
6,AKAZE,SIFT,173,115,49.9252,29.6899,0.534087, 80.1491
7,AKAZE,SIFT,175,126,46.369,28.923,0.564115, 75.8561
8,AKAZE,SIFT,175,116,45.6849,28.6311,0.531588, 74.8476
9,AKAZE,SIFT,175,113,45.8771,27.9928,0.538416, 74.4083
