Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,BRISK,ORB,254,0,264.893,4.64115,0, 269.534
1,BRISK,ORB,274,155,220.594,4.06484,0.399111, 225.058
2,BRISK,ORB,276,167,216.328,3.81203,0.38447, 220.525
3,BRISK,ORB,275,155,213.457,3.69855,0.409164, 217.565
4,BRISK,ORB,293,161,216.393,4.05299,0.442038, 220.889
5,BRISK,ORB,275,156,217.709,3.75823,0.462316, 221.93
6,BRISK,ORB,289,181,217.134,4.0065,0.45508, 221.595
7,BRISK,ORB,268,165,216.359,3.88244,0.456641, 220.698
8,BRISK,ORB,260,170,212.46,4.18782,0.351893, 217
9,BRISK,ORB,250,170,216.678,3.92998,0.399741, 221.007
