Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,BRISK,SIFT,254,0,275.02,30.0289,0, 305.049
1,BRISK,SIFT,274,108,223.567,31.664,0.992809, 256.224
2,BRISK,SIFT,276,119,223.122,29.6559,1.03387, 253.811
3,BRISK,SIFT,275,114,220.446,29.6118,0.947127, 251.005
4,BRISK,SIFT,293,114,223.186,28.9199,1.12685, 253.233
5,BRISK,SIFT,275,100,220.88,28.875,0.988777, 250.744
6,BRISK,SIFT,289,129,222.71,28.6581,1.05525, 252.423
7,BRISK,SIFT,268,135,223.884,28.3563,1.04353, 253.284
8,BRISK,SIFT,260,126,219.731,29.1272,0.875367, 249.734
9,BRISK,SIFT,250,129,225.367,29.0486,0.888805, 255.305
