Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,FAST,BRISK,119,0,1.18454,1.92052,0, 3.10507
1,FAST,BRISK,115,80,0.721815,1.43115,0.242711, 2.39568
2,FAST,BRISK,123,86,0.69416,0.989977,0.180903, 1.86504
3,FAST,BRISK,121,83,0.721726,1.10922,0.194268, 2.02521
4,FAST,BRISK,118,86,0.69667,1.22775,0.172271, 2.09669
5,FAST,BRISK,125,69,0.673807,1.36946,0.219571, 2.26284
6,FAST,BRISK,111,89,0.732233,1.12883,0.182701, 2.04377
7,FAST,BRISK,114,81,0.687914,1.03923,0.198564, 1.92571
8,FAST,BRISK,117,79,0.739207,1.06837,0.246466, 2.05404
9,FAST,BRISK,106,83,0.714605,1.19324,0.198673, 2.10651
