Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,FAST,ORB,119,0,0.890411,1.67751,0, 2.56792
1,FAST,ORB,115,93,0.824928,1.2884,0.199889, 2.31322
2,FAST,ORB,123,103,0.887968,1.45379,1.85358, 4.19534
3,FAST,ORB,121,99,0.736895,1.32749,2.14245, 4.20684
4,FAST,ORB,118,103,0.735227,1.24328,1.84059, 3.8191
5,FAST,ORB,125,93,0.741871,1.29382,1.78835, 3.82404
6,FAST,ORB,111,102,0.728103,1.22546,1.78584, 3.7394
7,FAST,ORB,114,93,0.953202,1.47832,1.89201, 4.32353
8,FAST,ORB,117,97,0.751012,1.2652,1.58511, 3.60133
9,FAST,ORB,106,103,0.794609,1.0616,0.166079, 2.02229
