Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,HARRIS,BRIEF,50,0,20.1609,1.38048,0, 21.5414
1,HARRIS,BRIEF,54,47,19.1989,0.775205,3.31082, 23.285
2,HARRIS,BRIEF,53,48,14.5098,0.846492,4.00803, 19.3644
3,HARRIS,BRIEF,55,51,15.3726,0.907132,3.43879, 19.7185
4,HARRIS,BRIEF,56,51,8.43313,0.733853,0.07965, 9.24664
5,HARRIS,BRIEF,58,53,9.00444,1.05964,0.181188, 10.2453
6,HARRIS,BRIEF,57,50,11.2864,1.0652,0.145378, 12.4969
7,HARRIS,BRIEF,61,53,10.5546,0.732629,0.230358, 11.5176
8,HARRIS,BRIEF,60,55,8.13187,0.657472,0.105806, 8.89514
9,HARRIS,BRIEF,57,56,8.73706,0.621112,0.103422, 9.46159
