Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,HARRIS,FREAK,50,0,19.9287,53.7536,0, 73.6823
1,HARRIS,FREAK,54,43,18.4837,35.6724,1.59217, 55.7483
2,HARRIS,FREAK,53,43,8.07397,28.1714,0.112361, 36.3577
3,HARRIS,FREAK,55,42,8.90364,27.6501,0.138682, 36.6925
4,HARRIS,FREAK,56,39,7.86884,27.9667,0.122212, 35.9577
5,HARRIS,FREAK,58,41,8.76146,27.8809,0.121445, 36.7638
6,HARRIS,FREAK,57,48,9.21549,29.1966,0.154678, 38.5668
7,HARRIS,FREAK,61,45,8.95656,28.1198,0.141194, 37.2176
8,HARRIS,FREAK,60,47,8.31033,28.3526,0.158829, 36.8218
9,HARRIS,FREAK,57,48,9.23728,27.9906,0.136242, 37.3641
