Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,HARRIS,ORB,50,0,17.6068,2.78878,0, 20.3956
1,HARRIS,ORB,54,46,18.2412,1.19422,3.18327, 22.6187
2,HARRIS,ORB,53,44,14.4265,1.15646,3.03277, 18.6157
3,HARRIS,ORB,55,48,14.5644,1.15737,3.13379, 18.8555
4,HARRIS,ORB,56,51,8.31937,0.841635,0.129177, 9.29018
5,HARRIS,ORB,58,49,8.97974,0.880131,0.094315, 9.95419
6,HARRIS,ORB,57,51,12.2419,0.890855,0.100396, 13.2331
7,HARRIS,ORB,61,50,10.5703,0.876652,0.1187, 11.5657
8,HARRIS,ORB,60,57,7.90083,0.891199,0.180126, 8.97215
9,HARRIS,ORB,57,56,8.95683,0.829133,0.093728, 9.87969
