Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,ORB,BRISK,91,0,12.9547,1.23308,0, 14.1877
1,ORB,BRISK,102,73,6.35497,1.00949,0.268507, 7.63297
2,ORB,BRISK,106,74,5.8508,1.01486,0.143647, 7.0093
3,ORB,BRISK,113,79,5.63835,1.06726,0.188545, 6.89415
4,ORB,BRISK,109,85,5.71162,1.0605,0.170644, 6.94277
5,ORB,BRISK,124,79,5.93028,1.37466,0.598769, 7.90371
6,ORB,BRISK,129,90,5.86267,1.18963,0.168642, 7.22094
7,ORB,BRISK,127,88,5.60655,1.25378,0.196342, 7.05668
8,ORB,BRISK,124,86,5.74111,1.23257,0.170901, 7.14458
9,ORB,BRISK,125,90,5.7308,1.17291,0.194206, 7.09792
