Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,ORB,ORB,91,0,10.8239,5.94141,0, 16.7653
1,ORB,ORB,102,67,21.0028,19.3565,4.21329, 44.5726
2,ORB,ORB,106,70,21.4145,15.0276,1.52282, 37.9648
3,ORB,ORB,113,72,5.6317,3.44986,0.125932, 9.20749
4,ORB,ORB,109,84,5.93043,3.28513,0.155447, 9.37101
5,ORB,ORB,124,91,5.9659,3.84557,0.167307, 9.97877
6,ORB,ORB,129,99,5.81088,3.99266,0.15125, 9.9548
7,ORB,ORB,127,91,7.11278,4.77926,0.611663, 12.5037
8,ORB,ORB,124,91,5.70713,3.87262,0.19003, 9.76978
9,ORB,ORB,125,90,5.79291,4.12359,0.139793, 10.0563
