Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,BRIEF,127,0,17.5539,2.0907,0, 19.6446
1,SHI-TOMASI,BRIEF,120,114,15.8809,1.51571,1.83064, 19.2272
2,SHI-TOMASI,BRIEF,123,112,12.93,1.35998,1.74084, 16.0308
3,SHI-TOMASI,BRIEF,120,105,13.1029,1.35542,1.7611, 16.2195
4,SHI-TOMASI,BRIEF,120,102,11.6199,0.874131,0.173473, 12.6675
5,SHI-TOMASI,BRIEF,115,104,9.08409,0.815864,0.143974, 10.0439
6,SHI-TOMASI,BRIEF,114,104,9.78562,1.39705,0.219135, 11.4018
7,SHI-TOMASI,BRIEF,125,100,11.4228,1.25131,0.160906, 12.835
8,SHI-TOMASI,BRIEF,112,111,11.1215,0.881765,0.150127, 12.1534
9,SHI-TOMASI,BRIEF,113,102,8.76371,1.17235,0.178506, 10.1146
