Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,FREAK,127,0,17.4996,51.5787,0, 69.0783
1,SHI-TOMASI,FREAK,120,87,20.4841,38.6797,0.364382, 59.5282
2,SHI-TOMASI,FREAK,123,90,9.24621,27.5022,0.193309, 36.9417
3,SHI-TOMASI,FREAK,120,86,9.78396,27.8809,0.194506, 37.8594
4,SHI-TOMASI,FREAK,120,88,8.52285,28.5151,0.194256, 37.2322
5,SHI-TOMASI,FREAK,115,87,9.47635,28.1762,0.171998, 37.8246
6,SHI-TOMASI,FREAK,114,80,8.49932,28.9606,0.168281, 37.6282
7,SHI-TOMASI,FREAK,125,81,9.31605,28.475,0.185132, 37.9762
8,SHI-TOMASI,FREAK,112,86,8.74374,27.9109,0.182178, 36.8368
9,SHI-TOMASI,FREAK,113,86,9.61421,28.5313,0.182069, 38.3276
