Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,ORB,127,0,15.4455,1.15965,0, 16.6051
1,SHI-TOMASI,ORB,120,108,15.6096,1.21328,1.49903, 18.3219
2,SHI-TOMASI,ORB,123,102,11.2974,2.19375,1.56322, 15.0544
3,SHI-TOMASI,ORB,120,99,12.482,1.38281,1.8203, 15.6852
4,SHI-TOMASI,ORB,120,102,13.5757,1.45914,1.76192, 16.7967
5,SHI-TOMASI,ORB,115,105,9.99162,0.838442,0.196162, 11.0262
6,SHI-TOMASI,ORB,114,98,11.8728,0.948317,0.139171, 12.9603
7,SHI-TOMASI,ORB,125,99,11.0911,1.03883,0.133137, 12.263
8,SHI-TOMASI,ORB,112,105,8.63922,0.965019,0.156146, 9.76039
9,SHI-TOMASI,ORB,113,99,8.81531,0.883778,0.155193, 9.85428
