Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,SIFT,127,0,26.7053,50.8218,0, 77.527
1,SHI-TOMASI,SIFT,120,67,24.4652,35.548,1.84169, 61.8549
2,SHI-TOMASI,SIFT,123,66,9.19579,29.2068,0.468293, 38.8709
3,SHI-TOMASI,SIFT,120,64,9.20359,29.2039,0.42625, 38.8338
4,SHI-TOMASI,SIFT,120,63,9.27894,30.4147,0.414111, 40.1078
5,SHI-TOMASI,SIFT,115,64,9.26457,30.9524,0.343149, 40.5601
6,SHI-TOMASI,SIFT,114,64,9.29106,28.5559,0.362482, 38.2095
7,SHI-TOMASI,SIFT,125,62,10.2723,31.1769,0.399578, 41.8489
8,SHI-TOMASI,SIFT,112,65,9.98555,28.9124,0.4287, 39.3266
9,SHI-TOMASI,SIFT,113,64,9.09077,30.2046,0.34808, 39.6435
