Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SIFT,BRIEF,137,0,140.148,0.987086,0, 141.135
1,SIFT,BRIEF,131,85,79.1543,1.36451,0.267442, 80.7863
2,SIFT,BRIEF,121,77,78.9907,1.48257,0.159826, 80.6331
3,SIFT,BRIEF,135,71,81.9383,1.67095,0.161137, 83.7704
4,SIFT,BRIEF,134,77,84.6464,1.69589,0.188922, 86.5312
5,SIFT,BRIEF,139,77,85.3573,1.72451,0.188513, 87.2703
6,SIFT,BRIEF,136,78,85.9869,1.64632,0.168604, 87.8018
7,SIFT,BRIEF,147,82,85.3361,1.64291,0.256141, 87.2351
8,SIFT,BRIEF,156,78,84.0512,1.7456,0.201953, 85.9987
9,SIFT,BRIEF,135,93,83.3655,1.60351,0.174948, 85.1439
