Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SIFT,BRISK,137,0,155.544,1.26948,0, 156.813
1,SIFT,BRISK,131,63,76.483,1.20971,0.305965, 77.9987
2,SIFT,BRISK,121,64,79.1023,1.09319,0.198234, 80.3937
3,SIFT,BRISK,135,60,78.8377,1.1836,0.172762, 80.1941
4,SIFT,BRISK,134,65,62.0404,1.18543,0.292201, 63.518
5,SIFT,BRISK,139,59,77.3974,1.21144,0.311517, 78.9203
6,SIFT,BRISK,136,65,63.4525,1.19633,0.241365, 64.8902
7,SIFT,BRISK,147,64,79.0667,1.28352,0.326732, 80.677
8,SIFT,BRISK,156,67,81.5591,1.32321,0.195708, 83.078
9,SIFT,BRISK,135,79,78.2649,1.17772,0.274986, 79.7176
