Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,SIFT,FREAK,137,0,135,28.3189,0, 163.319
1,SIFT,FREAK,131,64,77.7749,29.3969,0.229065, 107.401
2,SIFT,FREAK,121,70,76.1798,32.4476,0.180887, 108.808
3,SIFT,FREAK,135,62,76.4444,35.0836,0.139778, 111.668
4,SIFT,FREAK,134,65,76.103,34.4996,0.169436, 110.772
5,SIFT,FREAK,139,59,76.6691,34.443,0.154294, 111.266
6,SIFT,FREAK,136,60,75.9112,35.0445,0.154627, 111.11
7,SIFT,FREAK,147,64,74.4485,35.5848,0.155255, 110.189
8,SIFT,FREAK,156,65,78.8867,34.4954,0.166144, 113.548
9,SIFT,FREAK,135,79,78.3426,33.465,0.159659, 111.967
