Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms))
0,AKAZE,BRISK,1351,162,180.126,1.31132,0,0
1,AKAZE,BRISK,1327,157,59.1923,1.24462,162,0.219117
2,AKAZE,BRISK,1311,159,61.4542,1.25898,157,0.185299
3,AKAZE,BRISK,1351,154,80.705,1.23069,159,0.183959
4,AKAZE,BRISK,1360,162,71.6181,1.30032,154,0.194142
5,AKAZE,BRISK,1347,163,78.1041,1.28943,162,0.190543
6,AKAZE,BRISK,1363,173,73.2334,1.35473,163,0.196699
7,AKAZE,BRISK,1331,175,69.3104,1.36243,173,0.182179
8,AKAZE,BRISK,1357,175,82.6023,1.36705,175,0.206834
9,AKAZE,BRISK,1331,175,80.2895,1.36633,175,0.203246
