Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms))
0,BRISK,BRISK,2757,254,330.927,2.42754,0,0
1,BRISK,BRISK,2777,274,215.134,2.11913,254,0.405589
2,BRISK,BRISK,2741,276,213.953,2.11746,274,0.380278
3,BRISK,BRISK,2735,275,234.5,2.10607,276,0.370205
4,BRISK,BRISK,2757,293,219.737,2.23591,275,0.454461
5,BRISK,BRISK,2695,275,214.887,2.13059,293,0.426789
6,BRISK,BRISK,2715,289,212.814,2.29305,275,0.390283
7,BRISK,BRISK,2628,268,263.241,2.06635,289,0.376847
8,BRISK,BRISK,2639,260,236.763,2.01196,268,0.346271
9,BRISK,BRISK,2672,250,255.53,1.93245,260,0.326925
