Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,BRISK,FREAK,2757,254,20.9961,14.444,278.344,32.7639,0,0, 311.108
1,BRISK,FREAK,2777,274,21.5073,14.6626,239.78,34.038,154,0.490847, 274.309
2,BRISK,FREAK,2741,276,21.3841,13.9144,243.861,32.1043,173,0.46706, 276.432
3,BRISK,FREAK,2735,275,19.9855,12.6553,230.215,30.6497,153,0.435836, 261.301
4,BRISK,FREAK,2757,293,22.372,14.9385,224.907,30.3233,168,0.401187, 255.631
5,BRISK,FREAK,2695,275,22.5855,15.8993,221.75,28.5189,158,0.406884, 250.675
6,BRISK,FREAK,2715,289,21.3841,14.678,220.718,28.6895,181,0.373446, 249.781
7,BRISK,FREAK,2628,268,21.847,15.113,217.735,28.7416,169,0.364279, 246.84
8,BRISK,FREAK,2639,260,22.2692,15.2768,222.74,29.0986,175,0.332049, 252.171
9,BRISK,FREAK,2672,250,21.764,14.7209,220.398,28.6179,165,0.324656, 249.341
