Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,BRISK,SIFT,2757,254,20.9961,14.444,278.575,35.0417,0,0, 313.616
1,BRISK,SIFT,2777,274,21.5073,14.6626,231.261,33.4152,108,0.883637, 265.56
2,BRISK,SIFT,2741,276,21.3841,13.9144,220.745,29.9234,119,0.982466, 251.651
3,BRISK,SIFT,2735,275,19.9855,12.6553,220.98,28.9501,114,0.928717, 250.859
4,BRISK,SIFT,2757,293,22.372,14.9385,218.884,29.7738,114,1.66105, 250.319
5,BRISK,SIFT,2695,275,22.5855,15.8993,219.043,29.7682,100,0.8604, 249.672
6,BRISK,SIFT,2715,289,21.3841,14.678,220.35,29.7436,129,0.836005, 250.929
7,BRISK,SIFT,2628,268,21.847,15.113,219.942,28.817,135,0.890977, 249.65
8,BRISK,SIFT,2639,260,22.2692,15.2768,219.728,29.129,126,0.78681, 249.644
9,BRISK,SIFT,2672,250,21.764,14.7209,220.847,29.1004,129,0.740248, 250.688
