Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,FAST,BRIEF,1359,119,7,0,0.887368,1.85616,0,0, 2.74353
1,FAST,BRIEF,1337,115,7,0,0.750453,1.91305,97,0.19298, 2.85649
2,FAST,BRIEF,1324,123,7,0,0.872505,1.2323,100,1.70408, 3.80889
3,FAST,BRIEF,1331,121,7,0,0.833105,1.33779,104,1.71223, 3.88312
4,FAST,BRIEF,1291,118,7,0,0.878963,1.24666,103,1.64893, 3.77455
5,FAST,BRIEF,1309,125,7,0,0.851572,1.4684,93,1.73185, 4.05182
6,FAST,BRIEF,1307,111,7,0,0.920822,1.8081,106,1.71227, 4.44119
7,FAST,BRIEF,1242,114,7,0,0.843077,1.2857,96,0.135642, 2.26442
8,FAST,BRIEF,1270,117,7,0,0.920625,1.32079,97,0.138725, 2.38014
9,FAST,BRIEF,1248,106,7,0,0.81972,0.80586,104,0.162999, 1.78858
