Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,FAST,BRISK,1359,119,7,0,0.751482,1.59324,0,0, 2.34473
1,FAST,BRISK,1337,115,7,0,0.742959,1.43297,80,0.241026, 2.41696
2,FAST,BRISK,1324,123,7,0,0.729884,1.07874,86,0.160846, 1.96947
3,FAST,BRISK,1331,121,7,0,0.678877,1.16145,83,0.207204, 2.04753
4,FAST,BRISK,1291,118,7,0,0.674029,1.23188,86,0.162634, 2.06854
5,FAST,BRISK,1309,125,7,0,0.654812,1.11157,69,0.178798, 1.94518
6,FAST,BRISK,1307,111,7,0,0.613523,1.0047,89,0.130886, 1.74911
7,FAST,BRISK,1242,114,7,0,0.614723,1.43355,81,0.181885, 2.23016
8,FAST,BRISK,1270,117,7,0,0.741256,1.2867,79,0.158487, 2.18645
9,FAST,BRISK,1248,106,7,0,0.758857,1.04072,83,0.160809, 1.96039
