Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,FAST,FREAK,1359,119,7,0,0.873963,38.1841,0,0, 39.058
1,FAST,FREAK,1337,115,7,0,0.651658,55.5753,78,0.243129, 56.4701
2,FAST,FREAK,1324,123,7,0,0.921697,32.488,81,0.167982, 33.5777
3,FAST,FREAK,1331,121,7,0,0.740506,30.1905,77,1.6598, 32.5909
4,FAST,FREAK,1291,118,7,0,0.740792,31.5695,82,0.215134, 32.5254
5,FAST,FREAK,1309,125,7,0,0.740717,31.7029,70,0.191713, 32.6353
6,FAST,FREAK,1307,111,7,0,0.710722,30.7082,83,0.185882, 31.6048
7,FAST,FREAK,1242,114,7,0,0.709926,31.3937,75,0.180174, 32.2838
8,FAST,FREAK,1270,117,7,0,0.7478,29.832,79,0.200569, 30.7804
9,FAST,FREAK,1248,106,7,0,0.691259,30.6512,88,0.175417, 31.5179
