Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,FAST,ORB,1359,119,7,0,0.739061,1.3923,0,0, 2.13136
1,FAST,ORB,1337,115,7,0,0.680703,1.06478,93,0.260256, 2.00574
2,FAST,ORB,1324,123,7,0,0.726052,1.14144,103,3.63757, 5.50506
3,FAST,ORB,1331,121,7,0,0.778204,1.16096,99,4.74912, 6.68829
4,FAST,ORB,1291,118,7,0,0.766069,1.19279,103,4.52323, 6.48209
5,FAST,ORB,1309,125,7,0,0.834938,1.18207,93,8.05826, 10.0753
6,FAST,ORB,1307,111,7,0,0.803005,1.31917,102,5.04853, 7.17071
7,FAST,ORB,1242,114,7,0,0.800621,1.28489,93,0.139489, 2.225
8,FAST,ORB,1270,117,7,0,0.753181,0.822008,97,0.211638, 1.78683
9,FAST,ORB,1248,106,7,0,0.743467,0.976466,103,0.128315, 1.84825
