Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,HARRIS,BRIEF,492,50,4,0,25.2482,1.42816,0,0, 26.6763
1,HARRIS,BRIEF,502,54,4,0,20.184,0.735247,47,4.58268, 25.5019
2,HARRIS,BRIEF,516,53,4,0,20.8977,0.782545,48,6.29354, 27.9738
3,HARRIS,BRIEF,524,55,4,0,10.8643,0.823566,51,0.058586, 11.7464
4,HARRIS,BRIEF,523,56,4,0,9.22886,0.701539,51,0.130984, 10.0614
5,HARRIS,BRIEF,511,58,4,0,9.51108,1.15239,53,0.102943, 10.7664
6,HARRIS,BRIEF,505,57,4,0,13.058,1.00141,50,0.178501, 14.2379
7,HARRIS,BRIEF,510,61,4,0,11.5159,0.665817,53,0.065912, 12.2477
8,HARRIS,BRIEF,529,60,4,0,8.65797,0.65373,55,0.087259, 9.39896
9,HARRIS,BRIEF,520,57,4,0,10.0381,1.03192,56,0.10505, 11.1751
