Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms))
0,HARRIS,BRISK,492,50,83.5431,1.02124,0,0
1,HARRIS,BRISK,502,54,10.2357,0.55434,50,0.134572
2,HARRIS,BRISK,516,53,7.96588,0.554258,54,0.097709
3,HARRIS,BRISK,524,55,7.70825,0.568598,53,0.096704
4,HARRIS,BRISK,523,56,7.37359,0.57648,55,0.101264
5,HARRIS,BRISK,511,58,24.9949,0.588755,56,0.100291
6,HARRIS,BRISK,505,57,25.1343,0.584218,58,0.098494
7,HARRIS,BRISK,510,61,24.4064,0.607856,57,0.103885
8,HARRIS,BRISK,529,60,14.1907,0.935091,61,0.103036
9,HARRIS,BRISK,520,57,17.9685,0.925387,60,0.099974
