Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,HARRIS,FREAK,492,50,4,0,23.6129,57.0207,0,0, 80.6336
1,HARRIS,FREAK,502,54,4,0,20.0919,34.1347,43,1.11496, 55.3415
2,HARRIS,FREAK,516,53,4,0,8.26731,35.6035,43,0.081636, 43.9524
3,HARRIS,FREAK,524,55,4,0,8.75276,30.5158,42,0.152252, 39.4208
4,HARRIS,FREAK,523,56,4,0,10.2911,31.029,39,0.135335, 41.4554
5,HARRIS,FREAK,511,58,4,0,9.3314,32.0404,41,0.101195, 41.473
6,HARRIS,FREAK,505,57,4,0,9.67199,30.1672,48,0.121349, 39.9605
7,HARRIS,FREAK,510,61,4,0,8.18914,31.4128,45,0.130084, 39.732
8,HARRIS,FREAK,529,60,4,0,9.89593,30.0739,47,0.129509, 40.0994
9,HARRIS,FREAK,520,57,4,0,8.18613,29.0524,48,0.141149, 37.3797
