Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,HARRIS,SIFT,492,50,4,0,20.9596,50.3891,0,0, 71.3487
1,HARRIS,SIFT,502,54,4,0,19.7194,39.3746,37,0.658955, 59.753
2,HARRIS,SIFT,516,53,4,0,9.06786,30.7077,31,0.252992, 40.0285
3,HARRIS,SIFT,524,55,4,0,8.46459,31.5336,31,0.221603, 40.2198
4,HARRIS,SIFT,523,56,4,0,8.49023,30.2635,32,0.204898, 38.9586
5,HARRIS,SIFT,511,58,4,0,9.56278,33.2991,32,0.132003, 42.9939
6,HARRIS,SIFT,505,57,4,0,11.5063,33.0414,36,0.247076, 44.7947
7,HARRIS,SIFT,510,61,4,0,9.97295,31.9978,36,0.310547, 42.2813
8,HARRIS,SIFT,529,60,4,0,9.85037,31.4448,38,0.168036, 41.4632
9,HARRIS,SIFT,520,57,4,0,9.33432,34.2794,34,0.167802, 43.7815
