Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,ORB,BRISK,500,91,56.825,25.8512,11.2785,1.51133,0,0, 12.7899
1,ORB,BRISK,500,102,56.9419,26.0897,7.93084,0.992619,73,0.184329, 9.10779
2,ORB,BRISK,500,106,56.2177,25.9266,6.15722,1.04565,74,0.15962, 7.36249
3,ORB,BRISK,500,113,54.8503,25.0972,5.95653,1.29417,79,0.148992, 7.39968
4,ORB,BRISK,500,109,56.4503,25.0147,6.89507,1.77143,85,0.191923, 8.85842
5,ORB,BRISK,500,124,56.2587,24.5201,7.49088,1.16371,79,0.178412, 8.833
6,ORB,BRISK,500,129,56.3262,25.4607,6.03273,1.18197,90,0.162564, 7.37727
7,ORB,BRISK,500,127,54.9927,24.8558,6.74704,1.24315,88,0.157537, 8.14773
8,ORB,BRISK,500,124,54.2426,25.4848,6.48931,1.14939,86,0.166877, 7.80558
9,ORB,BRISK,500,125,54.1206,23.9542,7.01248,1.73747,90,0.198288, 8.94824
