Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,ORB,FREAK,500,91,56.825,25.8512,10.6049,56.4423,0,0, 67.0472
1,ORB,FREAK,500,102,56.9419,26.0897,19.4121,42.5715,41,0.222309, 62.2059
2,ORB,FREAK,500,106,56.2177,25.9266,5.74934,31.4587,36,0.112418, 37.3205
3,ORB,FREAK,500,113,54.8503,25.0972,7.19323,30.5452,44,0.149177, 37.8876
4,ORB,FREAK,500,109,56.4503,25.0147,5.56042,29.7198,47,0.097121, 35.3774
5,ORB,FREAK,500,124,56.2587,24.5201,6.17092,28.7853,44,0.115073, 35.0713
6,ORB,FREAK,500,129,56.3262,25.4607,5.27072,29.1482,51,0.096072, 34.5149
7,ORB,FREAK,500,127,54.9927,24.8558,6.12892,29.8602,52,0.146135, 36.1353
8,ORB,FREAK,500,124,54.2426,25.4848,5.49218,29.2611,47,0.115746, 34.8691
9,ORB,FREAK,500,125,54.1206,23.9542,6.19772,30.4629,54,0.127416, 36.788
