Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,ORB,ORB,500,91,56.825,25.8512,11.3461,8.889,0,0, 20.2351
1,ORB,ORB,500,102,56.9419,26.0897,8.61277,7.57241,67,1.60084, 17.786
2,ORB,ORB,500,106,56.2177,25.9266,18.246,11.7221,70,1.57457, 31.5427
3,ORB,ORB,500,113,54.8503,25.0972,14.5584,4.46961,72,0.163648, 19.1917
4,ORB,ORB,500,109,56.4503,25.0147,6.54821,4.57925,84,0.145912, 11.2734
5,ORB,ORB,500,124,56.2587,24.5201,6.4645,4.61527,91,0.165217, 11.245
6,ORB,ORB,500,129,56.3262,25.4607,6.11688,4.12511,99,0.217456, 10.4595
7,ORB,ORB,500,127,54.9927,24.8558,5.67839,4.13542,91,0.11652, 9.93032
8,ORB,ORB,500,124,54.2426,25.4848,6.24816,3.31641,91,0.118504, 9.68307
9,ORB,ORB,500,125,54.1206,23.9542,6.11741,3.96363,90,0.260861, 10.3419
