Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms))
0,ORB,BRISK,500,91,85.6828,1.18873,0,0
1,ORB,BRISK,500,102,6.288,0.894054,82,0.157415
2,ORB,BRISK,500,106,5.52124,0.896489,93,0.123541
3,ORB,BRISK,500,113,5.14213,0.97029,95,0.107533
4,ORB,BRISK,500,109,5.0168,1.07536,103,0.129371
5,ORB,BRISK,500,124,10.1905,1.0591,101,0.127001
6,ORB,BRISK,500,129,20.726,1.08356,115,0.137937
7,ORB,BRISK,500,127,10.3178,1.07053,119,0.138478
8,ORB,BRISK,500,124,9.9636,1.47604,118,0.129513
9,ORB,BRISK,500,125,22.3574,1.06705,116,0.12124
