Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms))
0,SHI-TOMASI,BRISK,1370,127,90.9347,1.463,0,0
1,SHI-TOMASI,BRISK,1301,120,9.9286,1.00964,127,0.186068
2,SHI-TOMASI,BRISK,1361,123,8.02743,1.02418,120,0.150201
3,SHI-TOMASI,BRISK,1358,120,7.88374,1.07017,123,0.155907
4,SHI-TOMASI,BRISK,1333,120,7.68976,1.00726,120,0.141234
5,SHI-TOMASI,BRISK,1284,115,26.1601,0.972925,120,0.146595
6,SHI-TOMASI,BRISK,1322,114,14.7836,0.963151,115,0.132013
7,SHI-TOMASI,BRISK,1366,125,13.5707,1.02554,114,0.163495
8,SHI-TOMASI,BRISK,1389,112,14.8852,1.29228,125,0.141826
9,SHI-TOMASI,BRISK,1339,113,30.2376,1.50755,112,0.136742
