Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,ORB,1370,127,4,0,17.3625,1.24722,0,0, 18.6097
1,SHI-TOMASI,ORB,1301,120,4,0,14.5433,3.295,108,1.66507, 19.5034
2,SHI-TOMASI,ORB,1361,123,4,0,17.0682,1.3657,102,3.10603, 21.5399
3,SHI-TOMASI,ORB,1358,120,4,0,13.5676,1.00876,99,0.189712, 14.7661
4,SHI-TOMASI,ORB,1333,120,4,0,8.40072,1.02243,102,0.165248, 9.58839
5,SHI-TOMASI,ORB,1284,115,4,0,10.3398,0.885474,105,0.165699, 11.391
6,SHI-TOMASI,ORB,1322,114,4,0,12.5035,1.16084,98,0.17278, 13.8371
7,SHI-TOMASI,ORB,1366,125,4,0,11.3517,0.925401,99,0.156325, 12.4334
8,SHI-TOMASI,ORB,1389,112,4,0,9.61745,0.888169,105,0.141205, 10.6468
9,SHI-TOMASI,ORB,1339,113,4,0,8.35827,0.896155,99,0.194576, 9.449
