Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SIFT,BRIEF,1438,137,4.59261,5.97563,142.386,1.05307,0,0, 143.439
1,SIFT,BRIEF,1371,131,4.62105,6.21424,85.1606,1.50361,85,0.226832, 86.891
2,SIFT,BRIEF,1380,121,4.48493,6.10651,94.1499,1.36496,77,0.16097, 95.6759
3,SIFT,BRIEF,1335,135,4.24814,5.29977,95.3856,1.73232,71,0.157415, 97.2753
4,SIFT,BRIEF,1305,134,4.21571,5.53346,100.47,1.59635,77,0.224577, 102.291
5,SIFT,BRIEF,1370,139,4.11678,5.60872,92.2934,1.7061,77,0.173753, 94.1733
6,SIFT,BRIEF,1396,136,4.88182,6.55671,88.665,1.67668,78,0.175089, 90.5168
7,SIFT,BRIEF,1382,147,4.03995,5.19276,88.519,1.77069,82,0.224177, 90.5139
8,SIFT,BRIEF,1463,156,5.01549,6.7444,90.4881,1.81467,78,0.205006, 92.5078
9,SIFT,BRIEF,1422,135,5.14426,6.74043,88.0824,1.5761,93,0.227071, 89.8855
