Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms))
0,SIFT,BRISK,1438,137,202.972,1.12048,0,0
1,SIFT,BRISK,1371,131,76.689,1.05876,136,0.219401
2,SIFT,BRISK,1380,121,73.8601,0.999177,131,0.226559
3,SIFT,BRISK,1335,135,98.9269,1.16924,121,0.144091
4,SIFT,BRISK,1305,134,92.6481,1.07716,135,0.160258
5,SIFT,BRISK,1370,139,121.939,1.11493,134,0.155836
6,SIFT,BRISK,1396,136,101.614,1.09314,139,0.159661
7,SIFT,BRISK,1382,147,105.964,1.14935,136,0.213084
8,SIFT,BRISK,1463,156,101.923,1.22113,147,0.172542
9,SIFT,BRISK,1422,135,102.674,1.08886,156,0.168965
