Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SIFT,SIFT,1438,137,4.59261,5.97563,141.692,31.7804,0,0, 173.472
1,SIFT,SIFT,1371,131,4.62105,6.21424,81.3762,31.8507,58,0.43916, 113.666
2,SIFT,SIFT,1380,121,4.48493,6.10651,83.2014,34.2983,61,0.388773, 117.888
3,SIFT,SIFT,1335,135,4.24814,5.29977,83.4105,34.3835,52,0.365708, 118.16
4,SIFT,SIFT,1305,134,4.21571,5.53346,84.1321,37.0989,63,0.418995, 121.65
5,SIFT,SIFT,1370,139,4.11678,5.60872,83.8941,34.8027,51,0.418286, 119.115
6,SIFT,SIFT,1396,136,4.88182,6.55671,85.2025,34.7626,51,0.376, 120.341
7,SIFT,SIFT,1382,147,4.03995,5.19276,84.1529,35.4388,48,0.407206, 119.999
8,SIFT,SIFT,1463,156,5.01549,6.7444,83.3053,36.39,53,0.407783, 120.103
9,SIFT,SIFT,1422,135,5.14426,6.74043,81.3148,34.8775,65,0.357854, 116.55
