Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,AKAZE,BRISK,1351,162,7.24786,3.99091,115.323,1.32486,0,0, 116.648
1,AKAZE,BRISK,1327,157,6.96709,3.56317,51.7717,1.80361,134,0.257284, 53.8326
2,AKAZE,BRISK,1311,159,6.87945,3.542,48.2146,1.33427,124,0.232556, 49.7814
3,AKAZE,BRISK,1351,154,6.95346,3.43268,43.7913,1.33202,129,0.295783, 45.4191
4,AKAZE,BRISK,1360,162,7.25205,3.47988,49.8615,1.38182,128,0.278144, 51.5215
5,AKAZE,BRISK,1347,163,7.20143,3.42175,51.3517,1.42122,130,0.273211, 53.0462
6,AKAZE,BRISK,1363,173,7.24759,3.46432,51.0379,1.52773,132,0.227829, 52.7934
7,AKAZE,BRISK,1331,175,7.33619,3.54378,53.512,1.51273,142,0.222588, 55.2473
8,AKAZE,BRISK,1357,175,7.3019,3.53708,51.1404,1.5571,144,0.284161, 52.9816
9,AKAZE,BRISK,1331,175,7.35904,3.65161,55.145,1.58453,141,0.26034, 56.9899
