Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,BRISK,BRISK,2757,254,20.9961,14.444,302.855,2.90196,0,0, 305.757
1,BRISK,BRISK,2777,274,21.5073,14.6626,272.762,2.43559,168,0.514701, 275.712
2,BRISK,BRISK,2741,276,21.3841,13.9144,246.191,2.28772,169,0.464376, 248.943
3,BRISK,BRISK,2735,275,19.9855,12.6553,240.055,2.4339,157,0.475963, 242.965
4,BRISK,BRISK,2757,293,22.372,14.9385,247.284,3.06004,170,0.487999, 250.832
5,BRISK,BRISK,2695,275,22.5855,15.8993,225.429,2.23001,171,0.442421, 228.101
6,BRISK,BRISK,2715,289,21.3841,14.678,222.085,2.61283,186,0.433396, 225.131
7,BRISK,BRISK,2628,268,21.847,15.113,221.109,2.27137,174,0.390341, 223.77
8,BRISK,BRISK,2639,260,22.2692,15.2768,222.925,2.17457,168,0.340825, 225.44
9,BRISK,BRISK,2672,250,21.764,14.7209,219.577,2.36424,182,0.360802, 222.302
