Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,BRISK,1370,127,4,0,21.4448,1.52476,0,0, 22.9695
1,SHI-TOMASI,BRISK,1301,120,4,0,11.7393,1.4653,97,0.304243, 13.5088
2,SHI-TOMASI,BRISK,1361,123,4,0,11.8242,1.28361,88,0.203245, 13.3111
3,SHI-TOMASI,BRISK,1358,120,4,0,9.5825,1.15161,80,0.231884, 10.966
4,SHI-TOMASI,BRISK,1333,120,4,0,8.97293,1.38872,90,0.20385, 10.5655
5,SHI-TOMASI,BRISK,1284,115,4,0,10.8321,1.06028,82,0.202962, 12.0954
6,SHI-TOMASI,BRISK,1322,114,4,0,10.5563,1.48267,79,0.199664, 12.2386
7,SHI-TOMASI,BRISK,1366,125,4,0,12.5064,1.46954,86,0.179207, 14.1551
8,SHI-TOMASI,BRISK,1389,112,4,0,11.6004,1.04207,86,0.191462, 12.8339
9,SHI-TOMASI,BRISK,1339,113,4,0,10.444,1.17421,83,0.176047, 11.7943
