Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,AKAZE,AKAZE,1351,162,7.24786,3.99091,119.609,41.4841,0,0, 161.093
1,AKAZE,AKAZE,1327,157,6.96709,3.56317,44.5551,36.0979,135,0.331305, 80.9843
2,AKAZE,AKAZE,1311,159,6.87945,3.542,46.6115,38.9136,138,0.20757, 85.7327
3,AKAZE,AKAZE,1351,154,6.95346,3.43268,49.799,38.7343,132,0.263263, 88.7965
4,AKAZE,AKAZE,1360,162,7.25205,3.47988,52.8661,40.9514,126,0.257406, 94.0749
5,AKAZE,AKAZE,1347,163,7.20143,3.42175,49.1933,40.7772,128,0.269009, 90.2395
6,AKAZE,AKAZE,1363,173,7.24759,3.46432,45.6089,39.9726,146,0.234519, 85.8161
7,AKAZE,AKAZE,1331,175,7.33619,3.54378,49.6736,37.5291,147,0.246296, 87.449
8,AKAZE,AKAZE,1357,175,7.3019,3.53708,44.9344,36.3267,149,0.402372, 81.6634
9,AKAZE,AKAZE,1331,175,7.35904,3.65161,43.2488,38.3625,148,0.316757, 81.9281
