Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,AKAZE,BRIEF,1351,162,7.24786,3.99091,119.279,1.44135,0,0, 120.72
1,AKAZE,BRIEF,1327,157,6.96709,3.56317,51.5769,1.02597,138,0.252451, 52.8554
2,AKAZE,BRIEF,1311,159,6.87945,3.542,51.6747,1.28142,132,0.502635, 53.4588
3,AKAZE,BRIEF,1351,154,6.95346,3.43268,59.2862,1.93494,132,0.254231, 61.4753
4,AKAZE,BRIEF,1360,162,7.25205,3.47988,85.3165,1.23464,129,0.24546, 86.7966
5,AKAZE,BRIEF,1347,163,7.20143,3.42175,57.5178,1.93498,137,0.195065, 59.6479
6,AKAZE,BRIEF,1363,173,7.24759,3.46432,49.0853,1.27509,147,0.295789, 50.6562
7,AKAZE,BRIEF,1331,175,7.33619,3.54378,47.4799,1.29134,153,0.261439, 49.0326
8,AKAZE,BRIEF,1357,175,7.3019,3.53708,55.082,1.55068,153,0.269441, 56.9021
9,AKAZE,BRIEF,1331,175,7.35904,3.65161,52.0373,1.8373,153,0.283028, 54.1576
