Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,AKAZE,FREAK,1351,162,7.24786,3.99091,114.739,35.3195,0,0, 150.059
1,AKAZE,FREAK,1327,157,6.96709,3.56317,54.6385,32.8466,123,0.387595, 87.8727
2,AKAZE,FREAK,1311,159,6.87945,3.542,56.191,32.4144,128,0.310656, 88.916
3,AKAZE,FREAK,1351,154,6.95346,3.43268,48.4269,33.2253,128,0.273468, 81.9257
4,AKAZE,FREAK,1360,162,7.25205,3.47988,53.6744,34.2455,121,0.304566, 88.2245
5,AKAZE,FREAK,1347,163,7.20143,3.42175,49.5665,30.5125,122,0.280781, 80.3598
6,AKAZE,FREAK,1363,173,7.24759,3.46432,50.2892,32.0019,133,0.297881, 82.589
7,AKAZE,FREAK,1331,175,7.33619,3.54378,52.3491,31.9681,144,0.239739, 84.5569
8,AKAZE,FREAK,1357,175,7.3019,3.53708,50.7089,31.9159,145,0.267347, 82.8921
9,AKAZE,FREAK,1331,175,7.35904,3.65161,49.4143,30.1827,135,0.248611, 79.8455
