Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,AKAZE,ORB,1351,162,7.24786,3.99091,101.435,13.1959,0,0, 114.631
1,AKAZE,ORB,1327,157,6.96709,3.56317,50.1593,2.88547,128,0.229643, 53.2745
2,AKAZE,ORB,1311,159,6.87945,3.542,49.8902,2.80142,128,0.17778, 52.8694
3,AKAZE,ORB,1351,154,6.95346,3.43268,49.0143,2.85134,126,0.171873, 52.0376
4,AKAZE,ORB,1360,162,7.25205,3.47988,48.0286,2.6283,118,0.166361, 50.8233
5,AKAZE,ORB,1347,163,7.20143,3.42175,46.3355,3.59067,129,0.177058, 50.1032
6,AKAZE,ORB,1363,173,7.24759,3.46432,47.2278,3.05664,131,0.237102, 50.5216
7,AKAZE,ORB,1331,175,7.33619,3.54378,45.7429,2.76757,136,0.170911, 48.6814
8,AKAZE,ORB,1357,175,7.3019,3.53708,46.2795,2.86278,136,0.244493, 49.3868
9,AKAZE,ORB,1331,175,7.35904,3.65161,44.6397,2.80697,143,0.202516, 47.6492
