Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,AKAZE,SIFT,1351,162,7.24786,3.99091,126.327,32.3131,0,0, 158.64
1,AKAZE,SIFT,1327,157,6.96709,3.56317,47.2536,30.0366,100,0.535647, 77.8258
2,AKAZE,SIFT,1311,159,6.87945,3.542,47.7093,30.7599,104,0.508433, 78.9776
3,AKAZE,SIFT,1351,154,6.95346,3.43268,46.8052,30.4302,94,0.427268, 77.6627
4,AKAZE,SIFT,1360,162,7.25205,3.47988,46.383,31.8311,97,0.473804, 78.6879
5,AKAZE,SIFT,1347,163,7.20143,3.42175,51.7874,34.1698,97,0.522263, 86.4794
6,AKAZE,SIFT,1363,173,7.24759,3.46432,52.7631,34.4837,115,0.707641, 87.9544
7,AKAZE,SIFT,1331,175,7.33619,3.54378,51.7087,33.0413,126,0.541612, 85.2916
8,AKAZE,SIFT,1357,175,7.3019,3.53708,55.5884,32.6129,116,0.556236, 88.7575
9,AKAZE,SIFT,1331,175,7.35904,3.65161,49.6858,30.3035,113,0.561877, 80.5512
