Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,BRISK,BRIEF,2757,254,20.9961,14.444,308.292,2.57843,0,0, 310.871
1,BRISK,BRIEF,2777,274,21.5073,14.6626,261.261,1.53618,172,0.60173, 263.398
2,BRISK,BRIEF,2741,276,21.3841,13.9144,257.001,1.67096,195,0.450671, 259.123
3,BRISK,BRIEF,2735,275,19.9855,12.6553,267.313,1.71381,175,0.475882, 269.503
4,BRISK,BRIEF,2757,293,22.372,14.9385,269.202,1.63106,177,0.482152, 271.315
5,BRISK,BRIEF,2695,275,22.5855,15.8993,266.931,1.6984,185,0.474669, 269.104
6,BRISK,BRIEF,2715,289,21.3841,14.678,272.704,2.1814,185,0.440116, 275.326
7,BRISK,BRIEF,2628,268,21.847,15.113,255.346,1.65819,208,0.499404, 257.503
8,BRISK,BRIEF,2639,260,22.2692,15.2768,252.084,1.41853,189,0.473885, 253.977
9,BRISK,BRIEF,2672,250,21.764,14.7209,254.687,1.46528,181,0.403757, 256.556
