Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,BRISK,ORB,2757,254,20.9961,14.444,282.47,4.62813,0,0, 287.098
1,BRISK,ORB,2777,274,21.5073,14.6626,245.386,4.17633,155,0.457691, 250.02
2,BRISK,ORB,2741,276,21.3841,13.9144,257.556,5.12095,167,0.430563, 263.107
3,BRISK,ORB,2735,275,19.9855,12.6553,241.504,4.40292,155,1.86407, 247.771
4,BRISK,ORB,2757,293,22.372,14.9385,236.943,3.98254,161,0.391706, 241.317
5,BRISK,ORB,2695,275,22.5855,15.8993,232.749,3.95886,156,0.549802, 237.258
6,BRISK,ORB,2715,289,21.3841,14.678,231.105,3.83605,181,0.39333, 235.334
7,BRISK,ORB,2628,268,21.847,15.113,229.512,3.78037,165,0.348837, 233.641
8,BRISK,ORB,2639,260,22.2692,15.2768,229.468,3.55557,170,0.386881, 233.411
9,BRISK,ORB,2672,250,21.764,14.7209,228.902,3.78154,170,0.30265, 232.986
