Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,FAST,SIFT,1359,119,7,0,0.950147,50.6004,0,0, 51.5505
1,FAST,SIFT,1337,115,7,0,0.950467,54.6393,52,0.599483, 56.1893
2,FAST,SIFT,1324,123,7,0,0.750418,36.6543,62,0.411254, 37.816
3,FAST,SIFT,1331,121,7,0,0.744209,32.6845,56,0.441422, 33.8701
4,FAST,SIFT,1291,118,7,0,0.737561,31.3442,63,0.284561, 32.3663
5,FAST,SIFT,1309,125,7,0,0.720256,30.7928,45,0.388122, 31.9012
6,FAST,SIFT,1307,111,7,0,0.752373,29.8234,64,0.33313, 30.9089
7,FAST,SIFT,1242,114,7,0,0.7107,30.7394,63,0.321279, 31.7714
8,FAST,SIFT,1270,117,7,0,0.829041,29.1793,56,0.326599, 30.335
9,FAST,SIFT,1248,106,7,0,0.760948,30.8438,73,0.267815, 31.8726
