Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,HARRIS,BRISK,492,50,4,0,18.8431,0.987759,0,0, 19.8309
1,HARRIS,BRISK,502,54,4,0,11.6197,0.566824,43,0.184501, 12.371
2,HARRIS,BRISK,516,53,4,0,9.65298,0.708686,39,0.101626, 10.4633
3,HARRIS,BRISK,524,55,4,0,9.23265,0.963987,45,0.084815, 10.2815
4,HARRIS,BRISK,523,56,4,0,11.5614,0.972274,44,0.106528, 12.6402
5,HARRIS,BRISK,511,58,4,0,16.6415,0.67098,37,0.132811, 17.4453
6,HARRIS,BRISK,505,57,4,0,10.3831,0.602958,41,0.102686, 11.0888
7,HARRIS,BRISK,510,61,4,0,10.8145,0.712795,44,0.087575, 11.6149
8,HARRIS,BRISK,529,60,4,0,8.82276,0.761676,52,0.153644, 9.73808
9,HARRIS,BRISK,520,57,4,0,11.3277,1.63065,48,0.103632, 13.062
