Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,HARRIS,ORB,492,50,4,0,18.0046,1.37951,0,0, 19.3841
1,HARRIS,ORB,502,54,4,0,18.5484,1.2991,46,3.60091, 23.4484
2,HARRIS,ORB,516,53,4,0,14.7696,1.31514,44,3.56343, 19.6481
3,HARRIS,ORB,524,55,4,0,8.99821,1.13716,48,0.087776, 10.2231
4,HARRIS,ORB,523,56,4,0,10.0165,0.780236,51,0.085473, 10.8822
5,HARRIS,ORB,511,58,4,0,9.60969,0.870343,49,0.094552, 10.5746
6,HARRIS,ORB,505,57,4,0,12.853,1.09037,51,1.30375, 15.2471
7,HARRIS,ORB,510,61,4,0,10.7182,0.94042,50,0.141405, 11.8
8,HARRIS,ORB,529,60,4,0,8.42072,0.972341,57,0.077351, 9.47041
9,HARRIS,ORB,520,57,4,0,8.10828,1.31288,56,0.589902, 10.0111
