Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,ORB,BRIEF,500,91,56.825,25.8512,10.1236,1.86407,0,0, 11.9877
1,ORB,BRIEF,500,102,56.9419,26.0897,22.014,2.15623,48,2.1464, 26.3166
2,ORB,BRIEF,500,106,56.2177,25.9266,18.3725,1.99094,48,1.94719, 22.3107
3,ORB,BRIEF,500,113,54.8503,25.0972,23.097,0.871641,56,1.59512, 25.5638
4,ORB,BRIEF,500,109,56.4503,25.0147,6.80266,0.814617,58,0.15823, 7.7755
5,ORB,BRIEF,500,124,56.2587,24.5201,7.89827,0.881283,60,0.130788, 8.91034
6,ORB,BRIEF,500,129,56.3262,25.4607,6.22536,0.923944,73,0.170671, 7.31997
7,ORB,BRIEF,500,127,54.9927,24.8558,5.9055,1.09288,67,0.243231, 7.24161
8,ORB,BRIEF,500,124,54.2426,25.4848,6.79055,0.851267,79,0.148826, 7.79065
9,ORB,BRIEF,500,125,54.1206,23.9542,7.09501,1.02792,60,0.242523, 8.36545
