Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,ORB,SIFT,500,91,56.825,25.8512,14.3358,62.4542,0,0, 76.79
1,ORB,SIFT,500,102,56.9419,26.0897,24.6789,36.2016,38,0.8765, 61.7569
2,ORB,SIFT,500,106,56.2177,25.9266,6.64163,34.2823,33,0.123651, 41.0475
3,ORB,SIFT,500,113,54.8503,25.0972,6.20465,32.0957,37,0.160447, 38.4608
4,ORB,SIFT,500,109,56.4503,25.0147,5.82058,29.4302,40,0.174035, 35.4248
5,ORB,SIFT,500,124,56.2587,24.5201,6.72184,30.3943,33,0.218389, 37.3345
6,ORB,SIFT,500,129,56.3262,25.4607,5.67617,29.9178,40,0.176135, 35.7701
7,ORB,SIFT,500,127,54.9927,24.8558,7.03211,30.3792,41,0.16881, 37.5801
8,ORB,SIFT,500,124,54.2426,25.4848,6.04595,30.2313,40,0.190945, 36.4682
9,ORB,SIFT,500,125,54.1206,23.9542,6.38032,29.7512,43,0.207915, 36.3394
