Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,BRIEF,1370,127,4,0,17.3625,2.34189,0,0, 19.7044
1,SHI-TOMASI,BRIEF,1301,120,4,0,15.31,3.88065,114,2.32219, 21.5128
2,SHI-TOMASI,BRIEF,1361,123,4,0,11.9824,1.27946,112,1.41841, 14.6802
3,SHI-TOMASI,BRIEF,1358,120,4,0,13.2468,1.425,105,1.65218, 16.3239
4,SHI-TOMASI,BRIEF,1333,120,4,0,8.16124,0.954088,102,0.177392, 9.29272
5,SHI-TOMASI,BRIEF,1284,115,4,0,9.18539,0.931724,104,0.254269, 10.3714
6,SHI-TOMASI,BRIEF,1322,114,4,0,8.54893,0.883765,104,0.238819, 9.67151
7,SHI-TOMASI,BRIEF,1366,125,4,0,10.5344,1.03258,100,0.206193, 11.7732
8,SHI-TOMASI,BRIEF,1389,112,4,0,13.1863,1.77031,111,0.231683, 15.1883
9,SHI-TOMASI,BRIEF,1339,113,4,0,13.8598,1.27628,102,0.248434, 15.3845
