Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,FREAK,1370,127,4,0,20.2998,50.4236,0,0, 70.7235
1,SHI-TOMASI,FREAK,1301,120,4,0,20.3338,39.0634,87,0.705286, 60.1024
2,SHI-TOMASI,FREAK,1361,123,4,0,8.39336,30.8202,90,0.1766, 39.3902
3,SHI-TOMASI,FREAK,1358,120,4,0,9.35797,32.6348,86,0.190919, 42.1837
4,SHI-TOMASI,FREAK,1333,120,4,0,8.57934,29.1257,88,0.208244, 37.9133
5,SHI-TOMASI,FREAK,1284,115,4,0,9.70259,31.0226,87,0.145532, 40.8707
6,SHI-TOMASI,FREAK,1322,114,4,0,9.37038,31.8999,80,0.176443, 41.4467
7,SHI-TOMASI,FREAK,1366,125,4,0,10.592,32.6892,81,0.25035, 43.5315
8,SHI-TOMASI,FREAK,1389,112,4,0,10.7585,32.5959,86,0.279993, 43.6344
9,SHI-TOMASI,FREAK,1339,113,4,0,10.0626,32.5976,86,0.142368, 42.8026
