Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SHI-TOMASI,SIFT,1370,127,4,0,23.858,68.7473,0,0, 92.6053
1,SHI-TOMASI,SIFT,1301,120,4,0,19.1189,46.9331,67,1.87295, 67.9249
2,SHI-TOMASI,SIFT,1361,123,4,0,11.2107,34.661,66,1.812, 47.6837
3,SHI-TOMASI,SIFT,1358,120,4,0,12.1726,34.6295,64,0.446482, 47.2486
4,SHI-TOMASI,SIFT,1333,120,4,0,9.87209,32.6273,63,0.361486, 42.8609
5,SHI-TOMASI,SIFT,1284,115,4,0,10.8775,32.4097,64,0.401198, 43.6884
6,SHI-TOMASI,SIFT,1322,114,4,0,11.2787,33.4036,64,0.376718, 45.0591
7,SHI-TOMASI,SIFT,1366,125,4,0,9.9186,31.7551,62,0.503733, 42.1774
8,SHI-TOMASI,SIFT,1389,112,4,0,9.37366,31.6478,65,0.394831, 41.4163
9,SHI-TOMASI,SIFT,1339,113,4,0,9.21739,31.0005,64,0.332844, 40.5508
