Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SIFT,BRISK,1438,137,4.59261,5.97563,144.88,1.26059,0,0, 146.141
1,SIFT,BRISK,1371,131,4.62105,6.21424,82.8027,1.15393,63,0.256351, 84.2129
2,SIFT,BRISK,1380,121,4.48493,6.10651,78.8401,1.14962,64,0.236152, 80.2259
3,SIFT,BRISK,1335,135,4.24814,5.29977,79.1196,1.20877,60,0.250665, 80.579
4,SIFT,BRISK,1305,134,4.21571,5.53346,75.7392,1.27638,65,0.211359, 77.2269
5,SIFT,BRISK,1370,139,4.11678,5.60872,83.8099,1.16011,59,0.276913, 85.2469
6,SIFT,BRISK,1396,136,4.88182,6.55671,86.0797,1.23646,65,0.200865, 87.517
7,SIFT,BRISK,1382,147,4.03995,5.19276,85.1188,1.31007,64,0.248363, 86.6772
8,SIFT,BRISK,1463,156,5.01549,6.7444,92.9373,1.35556,67,0.251034, 94.5439
9,SIFT,BRISK,1422,135,5.14426,6.74043,83.7362,1.4662,79,0.195044, 85.3974
