Frame,DetectorType,DescriptorType,KeyPointsPerFrame,KeyPointsPerROI,KeypointSizeMean,KeypointSizeStdDev,DetectorTime(ms),DescriptorTime(ms),MatchedPoints,MatchingTime(ms),TotalTime(ms)
0,SIFT,FREAK,1438,137,4.59261,5.97563,144.164,35.1701,0,0, 179.334
1,SIFT,FREAK,1371,131,4.62105,6.21424,89.9049,32.5141,64,0.258458, 122.677
2,SIFT,FREAK,1380,121,4.48493,6.10651,85.5057,33.111,70,0.275927, 118.893
3,SIFT,FREAK,1335,135,4.24814,5.29977,81.6059,34.4904,62,0.166432, 116.263
4,SIFT,FREAK,1305,134,4.21571,5.53346,82.165,36.1943,65,0.158966, 118.518
5,SIFT,FREAK,1370,139,4.11678,5.60872,81.0955,33.9231,59,0.150139, 115.169
6,SIFT,FREAK,1396,136,4.88182,6.55671,82.4389,34.045,60,0.154694, 116.639
7,SIFT,FREAK,1382,147,4.03995,5.19276,81.8422,35.2931,64,0.160447, 117.296
8,SIFT,FREAK,1463,156,5.01549,6.7444,78.7306,34.9641,65,0.16141, 113.856
9,SIFT,FREAK,1422,135,5.14426,6.74043,80.5257,37.2514,79,0.185588, 117.963
