Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,AKAZE,AKAZE,162,0,114.653,38.0068,0, 152.66
1,AKAZE,AKAZE,157,135,44.6085,35.1322,0.2932, 80.0339
2,AKAZE,AKAZE,159,138,46.3974,37.018,0.26, 83.6755
3,AKAZE,AKAZE,154,132,43.0069,36.3314,0.250972, 79.5892
4,AKAZE,AKAZE,162,126,47.152,38.3267,0.287619, 85.7664
5,AKAZE,AKAZE,163,128,43.2086,37.205,0.259967, 80.6736
6,AKAZE,AKAZE,173,146,51.7369,38.8753,0.294163, 90.9063
7,AKAZE,AKAZE,175,147,47.5716,38.1298,0.368533, 86.07
8,AKAZE,AKAZE,175,149,45.4955,40.6016,0.673563, 86.7707
9,AKAZE,AKAZE,175,148,47.9333,38.2187,0.264887, 86.4169
