Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,AKAZE,BRIEF,162,0,122.258,1.33887,0, 123.597
1,AKAZE,BRIEF,157,138,44.2592,1.06325,0.256331, 45.5788
2,AKAZE,BRIEF,159,132,44.8036,1.04985,0.197264, 46.0507
3,AKAZE,BRIEF,154,132,46.8714,1.2847,0.207041, 48.3632
4,AKAZE,BRIEF,162,129,44.3301,1.48282,0.515784, 46.3287
5,AKAZE,BRIEF,163,137,43.8931,1.16822,0.320697, 45.382
6,AKAZE,BRIEF,173,147,46.6424,1.08325,0.245963, 47.9716
7,AKAZE,BRIEF,175,153,44.4944,1.70605,0.399434, 46.5999
8,AKAZE,BRIEF,175,153,46.0463,1.23817,0.223895, 47.5084
9,AKAZE,BRIEF,175,153,42.4228,1.16852,0.264628, 43.856
