Frame,DetectorType,DescriptorType,KeyPointsPerROI,MatchedPoints,DetectorTime(ms),DescriptorTime(ms),MatchingTime(ms),TotalTime(ms)
0,BRISK,BRISK,254,0,276.657,2.87792,0, 279.535
1,BRISK,BRISK,274,168,215.132,2.22185,0.435252, 217.79
2,BRISK,BRISK,276,169,214.641,2.23942,0.467097, 217.347
3,BRISK,BRISK,275,157,243.191,2.20592,0.440173, 245.837
4,BRISK,BRISK,293,170,226.266,2.41099,0.46823, 229.145
5,BRISK,BRISK,275,171,223.049,2.31379,0.515236, 225.878
6,BRISK,BRISK,289,186,220.79,2.31971,0.493802, 223.604
7,BRISK,BRISK,268,174,211.75,2.19461,0.432206, 214.377
8,BRISK,BRISK,260,168,220.358,2.12753,0.387382, 222.873
9,BRISK,BRISK,250,182,218.396,2.06803,0.438722, 220.903
